	prediction	gold
0	bot	human
1	human	human
2	bot	human
3	bot	bot
4	human	human
5	bot	bot
6	bot	bot
7	bot	human
8	bot	human
9	human	human
10	bot	human
11	human	bot
12	human	human
13	human	bot
14	bot	human
15	human	human
16	bot	human
17	bot	bot
18	bot	human
19	bot	bot
20	human	human
21	bot	bot
22	bot	bot
23	human	human
24	human	human
25	bot	bot
26	human	human
27	bot	bot
28	bot	bot
29	bot	bot
30	human	human
31	human	human
32	human	human
33	human	human
34	bot	bot
35	bot	human
36	bot	human
37	human	human
38	bot	human
39	bot	bot
40	human	human
41	bot	bot
42	human	human
43	bot	human
44	bot	bot
45	bot	bot
46	human	human
47	human	human
48	human	human
49	human	human
50	human	human
51	human	human
52	bot	bot
53	human	human
54	bot	bot
55	bot	bot
56	human	human
57	bot	bot
58	bot	bot
59	bot	bot
60	bot	bot
61	bot	bot
62	human	human
63	bot	bot
64	bot	bot
65	bot	bot
66	bot	bot
67	human	human
68	bot	bot
69	bot	human
70	human	human
71	bot	bot
72	human	human
73	human	human
74	bot	human
75	human	human
76	human	human
77	bot	human
78	human	human
79	bot	bot
80	bot	bot
81	human	human
82	bot	bot
83	bot	bot
84	human	human
85	bot	bot
86	bot	bot
87	bot	bot
88	human	human
89	human	human
90	bot	bot
91	bot	bot
92	human	human
93	human	human
94	bot	bot
95	bot	bot
96	human	human
97	human	human
98	human	human
99	bot	bot
100	human	human
101	human	human
102	bot	bot
103	bot	bot
104	human	human
105	human	human
106	human	human
107	bot	bot
108	human	human
109	human	human
110	bot	bot
111	human	human
112	bot	human
113	human	bot
114	bot	bot
115	bot	bot
116	human	bot
117	human	human
118	human	human
119	bot	bot
120	bot	bot
121	human	human
122	bot	bot
123	bot	bot
124	bot	human
125	bot	bot
126	bot	bot
127	bot	bot
128	human	bot
129	bot	bot
130	bot	bot
131	human	human
132	human	human
133	human	human
134	bot	human
135	human	bot
136	human	bot
137	human	human
138	human	human
139	human	human
140	bot	bot
141	bot	bot
142	bot	bot
143	human	human
144	human	human
145	bot	bot
146	human	human
147	human	human
148	bot	bot
149	bot	bot
150	bot	bot
151	human	human
152	human	human
153	bot	bot
154	human	human
155	bot	bot
156	bot	bot
157	human	human
158	bot	bot
159	human	human
160	human	human
161	human	bot
162	human	human
163	human	human
164	bot	bot
165	bot	human
166	human	human
167	bot	human
168	bot	bot
169	bot	bot
170	bot	bot
171	bot	bot
172	bot	bot
173	bot	bot
174	human	human
175	human	human
176	human	bot
177	human	human
178	bot	bot
179	bot	bot
180	bot	bot
181	human	human
182	human	bot
183	human	human
184	bot	bot
185	human	human
186	bot	bot
187	bot	bot
188	human	human
189	bot	bot
190	bot	bot
191	bot	bot
192	bot	bot
193	bot	bot
194	bot	human
195	bot	human
196	bot	bot
197	human	human
198	bot	bot
199	human	human
200	bot	human
201	bot	bot
202	human	bot
203	human	bot
204	bot	bot
205	bot	bot
206	human	human
207	bot	bot
208	human	human
209	human	human
210	human	human
211	bot	bot
212	bot	bot
213	bot	bot
214	bot	bot
215	human	human
216	human	bot
217	bot	human
218	bot	bot
219	human	human
220	bot	bot
221	bot	bot
222	bot	bot
223	bot	bot
224	bot	bot
225	human	human
226	bot	human
227	human	human
228	human	human
229	bot	bot
230	bot	bot
231	human	human
232	bot	bot
233	bot	bot
234	human	bot
235	human	human
236	human	human
237	bot	bot
238	bot	bot
239	bot	bot
240	human	human
241	bot	bot
242	bot	bot
243	human	human
244	bot	human
245	human	human
246	human	human
247	human	human
248	human	bot
249	human	human
250	bot	human
251	bot	human
252	human	human
253	human	human
254	human	bot
255	bot	human
256	human	human
257	bot	human
258	human	human
259	human	human
260	human	human
261	bot	human
262	bot	bot
263	human	human
264	bot	bot
265	human	human
266	bot	bot
267	human	bot
268	bot	bot
269	bot	human
270	bot	human
271	bot	bot
272	bot	bot
273	human	human
274	bot	bot
275	human	human
276	human	human
277	human	human
278	bot	human
279	human	human
280	bot	bot
281	bot	bot
282	bot	bot
283	bot	bot
284	bot	bot
285	human	human
286	bot	human
287	human	human
288	human	human
289	human	human
290	human	human
291	human	bot
292	bot	bot
293	human	human
294	bot	bot
295	bot	human
296	human	human
297	human	human
298	bot	bot
299	bot	bot
300	human	human
301	bot	bot
302	bot	human
303	human	human
304	bot	human
305	bot	bot
306	human	bot
307	bot	bot
308	bot	human
309	bot	bot
310	human	human
311	bot	bot
312	bot	human
313	bot	bot
314	bot	bot
315	bot	bot
316	bot	human
317	bot	human
318	human	human
319	human	human
320	human	human
321	human	human
322	human	human
323	human	human
324	bot	bot
325	bot	bot
326	bot	bot
327	bot	bot
328	bot	bot
329	bot	bot
330	bot	bot
331	bot	human
332	human	human
333	human	bot
334	bot	bot
335	human	human
336	bot	bot
